辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
無難最勝者，於他有情所修善法但深隨喜，令自施等波羅蜜多速圓滿故。	“Supremacy of being free from difficulties” results from the swift consummation of perfections, such as generosity and so forth, in which there is deep corresponding delight at wholesome dharmas cultivated by other beings.
自在最勝者，由虛空藏等三摩地力，令所修施等速圓滿故。 攝受最勝者，無分別智之所攝受，能令施等極清淨故。	“Supremacy of mastery [over wealth]” results from the swift consummation of cultivated generosity and so forth stemming from the power of the ākāśagarbha samādhi, etc.18 “Supremacy of reception” results from having gained nondiscriminating cognition that can foster extreme purity in relation to generosity and so forth.
發起最勝者，在勝解行地最上品忍中。	“Supremacy of initiative” is at the highest level of tolerance on the ground of resolute practice.
至得最勝者，在極喜地。	“Supremacy of attainment” is on the ground of extreme joy.
等流最勝者，在次八地。	“Supremacy of natural results” means that results occur naturally on the following eight grounds.
究竟最勝者，在第十地及佛地中，菩薩如來因果滿故。	“Supremacy of the ultimate outcome” occurs at the tenth ground and the ground of buddhahood, since the causes and effects related to bodhisattvas Chapter Seven and tathāgatas are perfected.
由施等十波羅蜜多皆有如斯十二最勝，是故皆得到彼岸名。	As a result of the ten perfections (generosity, etc.), all [buddhas] possess these twelve types of supremacy. This is why all are said to have reached the other shore.
何等名為十到彼岸？	What are the ten perfections (“ten kinds of reaching to the other shore”)?
頌曰：   十波羅蜜多，   謂施、戒、安忍、   精進、定、般若、   方便、願、力、智。	The verse reads as follows: The ten perfections are: (1) generosity, (2) morality, (3) tolerance, (4) effort, (5) meditative concentration, (6) prajñā, (7) skillful means, (8) vows, (9) powers, and (10) awareness.
論曰：此顯施等十度別名。	Commentary: Here are explained the specific names of the ten perfections (generosity, etc.).
施等云何各別作業？	What are the specific activities of each of these (generosity, etc.)?
頌曰：   饒益、不害、受、   增德、能入、脫、   無盡、常起、定、   受用成熟他。	The verse reads as follows: (1) Benefiting beings, (2) not harming, (3) tolerance, (4) increasing merit, (5) converting beings, (6) teaching liberation, (7) inexhaustible merit, (8) constant engagement, (9) making definite, and (10) maturation of enjoyment for others.
論曰：此顯施等十到彼岸各別事業，如次應知。	Commentary: Here are explained the specific activities associated with the ten perfections (generosity, etc.), which should be understood in sequence.
謂諸菩薩由布施波羅蜜多故，於諸有情普能饒益。	Bodhisattvas extensively benefit beings as a result of the perfection of generosity.
由淨戒波羅蜜多故，於諸有情不為損害。	They bring no harm toward beings as a result of the perfection of pure morality.
由安忍波羅蜜多故，他損害時深能忍受。	They remain deeply patient when others harm them as a result of the perfection of tolerance.
由精進波羅蜜多故，增長功德。	They increase merit as a result of the perfection of effort.
由靜慮波羅蜜多故，起神通等能引有情令入正法。	They are able to bring sentient beings into the true Dharma by generating supernormal knowledges and so forth as a result of the perfection of meditative concentration.
由般若波羅蜜多故，能正教授教誡有情令得解脫。	They are able to teach beings to attain liberation through correctly explicating the doctrine and the precepts as a result of the perfection of prajñā.
由方便善巧波羅蜜多故，迴向無上正等菩提，能令施等功德無盡。	They are able to make inexhaustible the merits of generosity, etc. dedicated to unexcelled perfect awakening, as a result of the perfection of skillful means.
由願波羅蜜多故，攝受隨順施等勝生，一切生中恒得值佛，恭敬供養常起施等。	They receive a superior birth, accordant with generosity, etc. as a result of the perfection of vows; in all lifetimes they always meet with a buddha, venerating them and making offerings, and constantly giving rise to generosity, etc.
由力波羅蜜多故，具足思擇、修習二力伏滅諸障，能令施等常決定轉。	They possess the two powers of critical analysis and spiritual cultivation to eliminate various obstacles as a result of the perfection of powers, ensuring constant and definite engagement of generosity, etc.
由智波羅蜜多故，離如聞言諸法迷謬，受用施等增上法樂，無倒成熟一切有情。	They are freed from misunderstandings about the literal meanings of Dharma (various teachings) as a result of the perfection of awareness, enjoying the Dharma in which generosity and so forth are predominant influences, and bringing beings to maturity without error.
